vendedor;produto;vendas;meta;custo;regiao;status_vendas;classificacao;bonus_incentivo;produto_destaque;lucro;margem;bonus;tem_erro;;vendedores acima da meta:
Daniel;Camiseta;995;2000;423;Norte;Abaixo da meta;Bom;Não;Normal;572;57%;0;OK;;
Daniel;Boné;3646;2000;2243;Norte;Meta batida;Excelente;Sim;Normal;1403;38%;300;OK;;
Ana;Boné;951;2000;273;Norte;Abaixo da meta;Bom;Não;Normal;678;71%;0;OK;;
Carla;Camiseta;1787;2000;1312;Oeste;Abaixo da meta;Regular;Não;Normal;475;27%;150;OK;;
Elisa;Calça;2031;2000;2274;Norte;Meta batida;Regular;Sim;Normal;-243;-12%;150;OK;;
Carla;Camiseta;3846;2000;1852;Oeste;Meta batida;Excelente;Não;Normal;1994;52%;300;OK;;
Elisa;Boné;2527;2000;902;Sul;Meta batida;Regular;Sim;Normal;1625;64%;300;OK;;
Ana;Moletom;1668;2000;112;Leste;Abaixo da meta;Regular;Não;Normal;1556;93%;150;OK;;
Bruno;Moletom;4100;2000;1290;Norte;Meta batida;Excelente;Sim;Destaque;2810;69%;500;OK;;
Daniel;Tênis;2838;2000;2924;Norte;Meta batida;Regular;Sim;Destaque;-86;-3%;300;OK;;
Ana;Camiseta;3598;2000;2892;Sul;Meta batida;Excelente;Sim;Normal;706;20%;300;OK;;
Daniel;Camiseta;4013;2000;738;Leste;Meta batida;Excelente;Não;Destaque;3275;82%;500;OK;;
Bruno;Tênis;1166;2000;1534;Oeste;Abaixo da meta;Bom;Não;Destaque;-368;-32%;0;OK;;
Bruno;Tênis;4480;2000;1683;Leste;Meta batida;Excelente;Não;Destaque;2797;62%;500;OK;;
Ana;Tênis;2544;2000;2202;Sul;Meta batida;Regular;Sim;Destaque;342;13%;300;OK;;
Bruno;Boné;4207;2000;560;Sul;Meta batida;Excelente;Sim;Destaque;3647;87%;500;OK;;
Elisa;Camiseta;3473;2000;434;Leste;Meta batida;Excelente;Não;Normal;3039;88%;300;OK;;
Bruno;Boné;4069;2000;454;Oeste;Meta batida;Excelente;Não;Destaque;3615;89%;500;OK;;
Daniel;Tênis;2646;2000;2920;Oeste;Meta batida;Regular;Não;Destaque;-274;-10%;300;OK;;
Daniel;Camiseta;853;2000;567;Norte;Abaixo da meta;Bom;Não;Normal;286;34%;0;OK;;
Daniel;Boné;2182;2000;525;Oeste;Meta batida;Regular;Não;Normal;1657;76%;150;OK;;
Daniel;Boné;2874;2000;2050;Leste;Meta batida;Regular;Não;Normal;824;29%;300;OK;;
Elisa;Tênis;2996;2000;2806;Sul;Meta batida;Regular;Sim;Destaque;190;6%;300;OK;;
Carla;Camiseta;4285;2000;1718;Norte;Meta batida;Excelente;Sim;Destaque;2567;60%;500;OK;;
Ana;Tênis;875;2000;1943;Norte;Abaixo da meta;Bom;Não;Destaque;-1068;-122%;0;OK;;
Daniel;Camiseta;1725;2000;2868;Sul;Abaixo da meta;Regular;Não;Normal;-1143;-66%;150;OK;;
Bruno;Moletom;3169;2000;1510;Oeste;Meta batida;Excelente;Não;Normal;1659;52%;300;OK;;
Daniel;Calça;517;2000;2774;Sul;Abaixo da meta;Bom;Não;Normal;-2257;-437%;0;OK;;
Bruno;Calça;214;2000;763;Oeste;Abaixo da meta;Bom;Não;Normal;-549;-257%;0;OK;;
Bruno;Calça;716;2000;132;Sul;Abaixo da meta;Bom;Não;Normal;584;82%;0;OK;;
Daniel;Tênis;4074;2000;1218;Leste;Meta batida;Excelente;Não;Destaque;2856;70%;500;OK;;
Elisa;Moletom;3367;2000;2554;Oeste;Meta batida;Excelente;Não;Normal;813;24%;300;OK;;
Bruno;Camiseta;925;2000;1951;Leste;Abaixo da meta;Bom;Não;Normal;-1026;-111%;0;OK;;
Bruno;Boné;1616;2000;2098;Norte;Abaixo da meta;Regular;Não;Normal;-482;-30%;150;OK;;
Daniel;Camiseta;3246;2000;100;Sul;Meta batida;Excelente;Sim;Normal;3146;97%;300;OK;;
Bruno;Boné;512;2000;734;Norte;Abaixo da meta;Bom;Não;Normal;-222;-43%;0;OK;;
Bruno;Camiseta;828;2000;766;Norte;Abaixo da meta;Bom;Não;Normal;62;7%;0;OK;;
Daniel;Moletom;3448;2000;1519;Norte;Meta batida;Excelente;Sim;Normal;1929;56%;300;OK;;
Daniel;Boné;2908;2000;498;Norte;Meta batida;Regular;Sim;Normal;2410;83%;300;OK;;
Ana;Tênis;775;2000;930;Sul;Abaixo da meta;Bom;Não;Destaque;-155;-20%;0;OK;;
Elisa;Camiseta;3565;2000;537;Norte;Meta batida;Excelente;Sim;Normal;3028;85%;300;OK;;
Elisa;Camiseta;2604;2000;1873;Sul;Meta batida;Regular;Sim;Normal;731;28%;300;OK;;
Bruno;Boné;3067;2000;2131;Sul;Meta batida;Excelente;Sim;Normal;936;31%;300;OK;;
Elisa;Tênis;2886;2000;2192;Leste;Meta batida;Regular;Não;Destaque;694;24%;300;OK;;
Bruno;Tênis;1222;2000;1624;Oeste;Abaixo da meta;Bom;Não;Destaque;-402;-33%;0;OK;;
Ana;Moletom;4179;2000;2251;Oeste;Meta batida;Excelente;Não;Destaque;1928;46%;500;OK;;
Daniel;Tênis;1671;2000;299;Sul;Abaixo da meta;Regular;Não;Destaque;1372;82%;150;OK;;
Daniel;Tênis;2243;2000;723;Leste;Meta batida;Regular;Não;Destaque;1520;68%;150;OK;;
Daniel;Tênis;1787;2000;487;Sul;Abaixo da meta;Regular;Não;Destaque;1300;73%;150;OK;;
Elisa;Calça;4232;2000;2215;Sul;Meta batida;Excelente;Sim;Destaque;2017;48%;500;OK;;
Ana;Moletom;3951;2000;820;Sul;Meta batida;Excelente;Sim;Normal;3131;79%;300;OK;;
Elisa;Camiseta;3540;2000;317;Leste;Meta batida;Excelente;Não;Normal;3223;91%;300;OK;;
Elisa;Boné;3866;2000;2034;Oeste;Meta batida;Excelente;Não;Normal;1832;47%;300;OK;;
Ana;Camiseta;2426;2000;1127;Leste;Meta batida;Regular;Não;Normal;1299;54%;150;OK;;
Ana;Moletom;3014;2000;285;Norte;Meta batida;Excelente;Sim;Normal;2729;91%;300;OK;;
Ana;Boné;4052;2000;438;Leste;Meta batida;Excelente;Não;Destaque;3614;89%;500;OK;;
Ana;Moletom;695;2000;812;Leste;Abaixo da meta;Bom;Não;Normal;-117;-17%;0;OK;;
Daniel;Tênis;828;2000;1898;Leste;Abaixo da meta;Bom;Não;Destaque;-1070;-129%;0;OK;;
Carla;Boné;1465;2000;2498;Leste;Abaixo da meta;Bom;Não;Normal;-1033;-71%;0;OK;;
Carla;Tênis;4592;2000;673;Oeste;Meta batida;Excelente;Não;Destaque;3919;85%;500;OK;;
Ana;Camiseta;798;2000;2864;Norte;Abaixo da meta;Bom;Não;Normal;-2066;-259%;0;OK;;
Carla;Camiseta;495;2000;1302;Oeste;Abaixo da meta;Bom;Não;Normal;-807;-163%;0;OK;;
Carla;Boné;4271;2000;2950;Oeste;Meta batida;Excelente;Não;Destaque;1321;31%;500;OK;;
Ana;Boné;4460;2000;627;Leste;Meta batida;Excelente;Não;Destaque;3833;86%;500;OK;;
Carla;Moletom;2602;2000;2172;Sul;Meta batida;Regular;Sim;Normal;430;17%;300;OK;;
Elisa;Moletom;1919;2000;484;Sul;Abaixo da meta;Regular;Não;Normal;1435;75%;150;OK;;
Bruno;Tênis;817;2000;2200;Oeste;Abaixo da meta;Bom;Não;Destaque;-1383;-169%;0;OK;;
Bruno;Boné;2882;2000;813;Oeste;Meta batida;Regular;Não;Normal;2069;72%;300;OK;;
Ana;Camiseta;3677;2000;2835;Leste;Meta batida;Excelente;Não;Normal;842;23%;300;OK;;
Daniel;Moletom;243;2000;2903;Oeste;Abaixo da meta;Bom;Não;Normal;-2660;-1095%;0;OK;;
Ana;Moletom;3240;2000;1379;Leste;Meta batida;Excelente;Não;Normal;1861;57%;300;OK;;
Daniel;Camiseta;4591;2000;2195;Sul;Meta batida;Excelente;Sim;Destaque;2396;52%;500;OK;;
Bruno;Moletom;3038;2000;2895;Sul;Meta batida;Excelente;Sim;Normal;143;5%;300;OK;;
Ana;Tênis;3736;2000;1408;Norte;Meta batida;Excelente;Sim;Destaque;2328;62%;300;OK;;
Elisa;Boné;3322;2000;2956;Sul;Meta batida;Excelente;Sim;Normal;366;11%;300;OK;;
Carla;Camiseta;1267;2000;2532;Oeste;Abaixo da meta;Bom;Não;Normal;-1265;-100%;0;OK;;
Daniel;Boné;2716;2000;496;Sul;Meta batida;Regular;Sim;Normal;2220;82%;300;OK;;
Carla;Moletom;1162;2000;2067;Leste;Abaixo da meta;Bom;Não;Normal;-905;-78%;0;OK;;
Carla;Moletom;2256;2000;1381;Sul;Meta batida;Regular;Sim;Normal;875;39%;150;OK;;
Ana;Camiseta;3082;2000;298;Norte;Meta batida;Excelente;Sim;Normal;2784;90%;300;OK;;
Carla;Tênis;3394;2000;215;Sul;Meta batida;Excelente;Sim;Destaque;3179;94%;300;OK;;
Elisa;Calça;4829;2000;1408;Leste;Meta batida;Excelente;Não;Destaque;3421;71%;500;OK;;
Carla;Camiseta;1256;2000;1069;Leste;Abaixo da meta;Bom;Não;Normal;187;15%;0;OK;;
Ana;Calça;832;2000;591;Oeste;Abaixo da meta;Bom;Não;Normal;241;29%;0;OK;;
Elisa;Calça;4430;2000;808;Sul;Meta batida;Excelente;Sim;Destaque;3622;82%;500;OK;;
Bruno;Tênis;4946;2000;2178;Leste;Meta batida;Excelente;Não;Destaque;2768;56%;500;OK;;
Carla;Calça;1053;2000;2230;Norte;Abaixo da meta;Bom;Não;Normal;-1177;-112%;0;OK;;
Ana;Calça;2639;2000;846;Oeste;Meta batida;Regular;Não;Normal;1793;68%;300;OK;;
Bruno;Tênis;3424;2000;2997;Norte;Meta batida;Excelente;Sim;Destaque;427;12%;300;OK;;
Bruno;Calça;3401;2000;187;Sul;Meta batida;Excelente;Sim;Normal;3214;95%;300;OK;;
Daniel;Calça;1642;2000;2281;Sul;Abaixo da meta;Regular;Não;Normal;-639;-39%;150;OK;;
Elisa;Calça;1291;2000;1403;Sul;Abaixo da meta;Bom;Não;Normal;-112;-9%;0;OK;;
Carla;Camiseta;3093;2000;2882;Oeste;Meta batida;Excelente;Não;Normal;211;7%;300;OK;;
Ana;Camiseta;2781;2000;1925;Leste;Meta batida;Regular;Não;Normal;856;31%;300;OK;;
Daniel;Camiseta;1317;2000;118;Oeste;Abaixo da meta;Bom;Não;Normal;1199;91%;0;OK;;
Elisa;Tênis;1640;2000;2643;Norte;Abaixo da meta;Regular;Não;Destaque;-1003;-61%;150;OK;;
Daniel;Moletom;3336;2000;2150;Oeste;Meta batida;Excelente;Não;Normal;1186;36%;300;OK;;
Elisa;Calça;2486;2000;1523;Norte;Meta batida;Regular;Sim;Normal;963;39%;150;OK;;
Elisa;Calça;3819;2000;254;Oeste;Meta batida;Excelente;Não;Normal;3565;93%;300;OK;;
Carla;Tênis;1488;2000;2223;Leste;Abaixo da meta;Bom;Não;Destaque;-735;-49%;0;OK;;
Elisa;Calça;1956;2000;92;Norte;Abaixo da meta;Regular;Não;Normal;1864;95%;150;OK;;
Daniel;Camiseta;1465;2000;1956;Sul;Abaixo da meta;Bom;Não;Normal;-491;-34%;0;OK;;
Elisa;Moletom;599;2000;2208;Sul;Abaixo da meta;Bom;Não;Normal;-1609;-269%;0;OK;;
Carla;Boné;1780;2000;810;Oeste;Abaixo da meta;Regular;Não;Normal;970;54%;150;OK;;
Carla;Calça;610;2000;2945;Sul;Abaixo da meta;Bom;Não;Normal;-2335;-383%;0;OK;;
Daniel;Camiseta;4412;2000;2192;Norte;Meta batida;Excelente;Sim;Destaque;2220;50%;500;OK;;
Bruno;Boné;1424;2000;2044;Sul;Abaixo da meta;Bom;Não;Normal;-620;-44%;0;OK;;
Bruno;Moletom;1255;2000;1985;Leste;Abaixo da meta;Bom;Não;Normal;-730;-58%;0;OK;;
Elisa;Boné;1927;2000;949;Leste;Abaixo da meta;Regular;Não;Normal;978;51%;150;OK;;
Ana;Camiseta;3241;2000;409;Oeste;Meta batida;Excelente;Não;Normal;2832;87%;300;OK;;
Elisa;Boné;3586;2000;2997;Norte;Meta batida;Excelente;Sim;Normal;589;16%;300;OK;;
Daniel;Tênis;1910;2000;1769;Leste;Abaixo da meta;Regular;Não;Destaque;141;7%;150;OK;;
Daniel;Boné;3023;2000;330;Leste;Meta batida;Excelente;Não;Normal;2693;89%;300;OK;;
Daniel;Calça;2314;2000;1937;Norte;Meta batida;Regular;Sim;Normal;377;16%;150;OK;;
Daniel;Calça;4286;2000;716;Sul;Meta batida;Excelente;Sim;Destaque;3570;83%;500;OK;;
Daniel;Tênis;813;2000;142;Sul;Abaixo da meta;Bom;Não;Destaque;671;83%;0;OK;;
Carla;Camiseta;3702;2000;721;Oeste;Meta batida;Excelente;Não;Normal;2981;81%;300;OK;;
Bruno;Calça;4234;2000;2019;Sul;Meta batida;Excelente;Sim;Destaque;2215;52%;500;OK;;
Daniel;Moletom;3622;2000;110;Norte;Meta batida;Excelente;Sim;Normal;3512;97%;300;OK;;
Ana;Calça;4368;2000;2731;Leste;Meta batida;Excelente;Não;Destaque;1637;37%;500;OK;;
Ana;Calça;4848;2000;1078;Sul;Meta batida;Excelente;Sim;Destaque;3770;78%;500;OK;;
Ana;Camiseta;4949;2000;1539;Oeste;Meta batida;Excelente;Não;Destaque;3410;69%;500;OK;;
Ana;Boné;1343;2000;653;Sul;Abaixo da meta;Bom;Não;Normal;690;51%;0;OK;;
Carla;Calça;3809;2000;731;Norte;Meta batida;Excelente;Sim;Normal;3078;81%;300;OK;;
Ana;Tênis;1181;2000;2631;Oeste;Abaixo da meta;Bom;Não;Destaque;-1450;-123%;0;OK;;
Daniel;Boné;555;2000;1478;Sul;Abaixo da meta;Bom;Não;Normal;-923;-166%;0;OK;;
Elisa;Moletom;994;2000;2935;Oeste;Abaixo da meta;Bom;Não;Normal;-1941;-195%;0;OK;;
Ana;Camiseta;1484;2000;2742;Norte;Abaixo da meta;Bom;Não;Normal;-1258;-85%;0;OK;;
Carla;Moletom;2058;2000;2330;Leste;Meta batida;Regular;Não;Normal;-272;-13%;150;OK;;
Carla;Boné;3172;2000;573;Norte;Meta batida;Excelente;Sim;Normal;2599;82%;300;OK;;
Ana;Boné;2096;2000;2443;Norte;Meta batida;Regular;Sim;Normal;-347;-17%;150;OK;;
Elisa;Boné;4385;2000;2643;Norte;Meta batida;Excelente;Sim;Destaque;1742;40%;500;OK;;
Ana;Moletom;604;2000;2018;Norte;Abaixo da meta;Bom;Não;Normal;-1414;-234%;0;OK;;
Carla;Boné;1314;2000;1151;Leste;Abaixo da meta;Bom;Não;Normal;163;12%;0;OK;;
Bruno;Moletom;1631;2000;1803;Leste;Abaixo da meta;Regular;Não;Normal;-172;-11%;150;OK;;
Daniel;Boné;3540;2000;1886;Oeste;Meta batida;Excelente;Não;Normal;1654;47%;300;OK;;
Carla;Tênis;923;2000;2891;Sul;Abaixo da meta;Bom;Não;Destaque;-1968;-213%;0;OK;;
Ana;Boné;1028;2000;2346;Leste;Abaixo da meta;Bom;Não;Normal;-1318;-128%;0;OK;;
Daniel;Moletom;233;2000;2144;Leste;Abaixo da meta;Bom;Não;Normal;-1911;-820%;0;OK;;
Ana;Calça;2205;2000;1194;Sul;Meta batida;Regular;Sim;Normal;1011;46%;150;OK;;
Ana;Boné;3727;2000;2311;Leste;Meta batida;Excelente;Não;Normal;1416;38%;300;OK;;
Bruno;Calça;4880;2000;2336;Norte;Meta batida;Excelente;Sim;Destaque;2544;52%;500;OK;;
Daniel;Tênis;1952;2000;1129;Norte;Abaixo da meta;Regular;Não;Destaque;823;42%;150;OK;;
Daniel;Camiseta;4275;2000;2447;Sul;Meta batida;Excelente;Sim;Destaque;1828;43%;500;OK;;
Bruno;Tênis;3033;2000;156;Oeste;Meta batida;Excelente;Não;Destaque;2877;95%;300;OK;;
Carla;Boné;3384;2000;2928;Oeste;Meta batida;Excelente;Não;Normal;456;13%;300;OK;;
Ana;Calça;4398;2000;97;Sul;Meta batida;Excelente;Sim;Destaque;4301;98%;500;OK;;
Elisa;Calça;2911;2000;386;Sul;Meta batida;Regular;Sim;Normal;2525;87%;300;OK;;
Ana;Moletom;1350;2000;1099;Norte;Abaixo da meta;Bom;Não;Normal;251;19%;0;OK;;
Ana;Calça;3612;2000;2901;Oeste;Meta batida;Excelente;Não;Normal;711;20%;300;OK;;
Carla;Moletom;1356;2000;1330;Leste;Abaixo da meta;Bom;Não;Normal;26;2%;0;OK;;
Ana;Camiseta;3476;2000;2105;Norte;Meta batida;Excelente;Sim;Normal;1371;39%;300;OK;;
Bruno;Boné;3586;2000;674;Sul;Meta batida;Excelente;Sim;Normal;2912;81%;300;OK;;
Bruno;Moletom;3684;2000;1940;Oeste;Meta batida;Excelente;Não;Normal;1744;47%;300;OK;;
Daniel;Camiseta;1496;2000;1326;Leste;Abaixo da meta;Bom;Não;Normal;170;11%;0;OK;;
Elisa;Calça;3737;2000;1765;Leste;Meta batida;Excelente;Não;Normal;1972;53%;300;OK;;
Ana;Calça;3430;2000;2816;Norte;Meta batida;Excelente;Sim;Normal;614;18%;300;OK;;
Ana;Camiseta;2803;2000;352;Oeste;Meta batida;Regular;Não;Normal;2451;87%;300;OK;;
Carla;Calça;570;2000;688;Oeste;Abaixo da meta;Bom;Não;Normal;-118;-21%;0;OK;;
Bruno;Camiseta;1453;2000;105;Sul;Abaixo da meta;Bom;Não;Normal;1348;93%;0;OK;;
Elisa;Moletom;2883;2000;775;Oeste;Meta batida;Regular;Não;Normal;2108;73%;300;OK;;
Daniel;Moletom;2931;2000;575;Oeste;Meta batida;Regular;Não;Normal;2356;80%;300;OK;;
Bruno;Camiseta;457;2000;523;Norte;Abaixo da meta;Bom;Não;Normal;-66;-14%;0;OK;;
Daniel;Moletom;3119;2000;77;Oeste;Meta batida;Excelente;Não;Normal;3042;98%;300;OK;;
Carla;Moletom;767;2000;2175;Leste;Abaixo da meta;Bom;Não;Normal;-1408;-184%;0;OK;;
Carla;Moletom;4568;2000;414;Norte;Meta batida;Excelente;Sim;Destaque;4154;91%;500;OK;;
Ana;Tênis;1245;2000;2763;Norte;Abaixo da meta;Bom;Não;Destaque;-1518;-122%;0;OK;;
Elisa;Boné;4285;2000;575;Sul;Meta batida;Excelente;Sim;Destaque;3710;87%;500;OK;;
Daniel;Calça;3819;2000;2796;Oeste;Meta batida;Excelente;Não;Normal;1023;27%;300;OK;;
